# snr zf-31-0 mmse-31-0 lms-31-0 cnn-31-0 zf-31-1 mmse-31-1 lms-31-1 cnn-31-1 zf-31-2 mmse-31-2 lms-31-2 cnn-31-2 zf-31-3 mmse-31-3 lms-31-3 cnn-31-3
-3.0 0.38347424999999996 0.34570874999999995 0.4979065 0.28959674999999996 0.3852575 0.34461075 0.4977125 0.33487975 0.39889274999999996 0.3622645 0.497695 0.28649225 0.3961295 0.359654 0.4974615 0.28828800000000004
0.0 0.312565 0.262237 0.48083774999999995 0.19363175000000002 0.31531624999999996 0.2623615 0.47976499999999994 0.217548 0.34562975 0.299264 0.48351975 0.216246 0.340116 0.29285925 0.48268125 0.2167335
3.0 0.22275225 0.1654765 0.45526025 0.103059 0.22798425000000003 0.16678099999999998 0.45518500000000006 0.11746324999999999 0.28520700000000004 0.22870675000000001 0.465133 0.147371 0.27227275 0.21542875 0.4639505 0.145419
6.0 0.12829575000000001 0.07600975000000001 0.43633 0.03827525 0.13637149999999998 0.07977650000000001 0.436463 0.0469515 0.2217315 0.16013275000000002 0.45261025 0.08832025 0.19693525 0.1374425 0.44944624999999994 0.08309
9.0 0.0496535 0.019740500000000005 0.42423075 0.008536000000000002 0.061331500000000004 0.024600000000000007 0.42330874999999996 0.01388925 0.15959600000000002 0.09858099999999999 0.4458385 0.04672225 0.12163700000000001 0.06780900000000001 0.44165475000000004 0.041003500000000005
12.0 0.01025725 0.00175475 0.41734625 0.00110975 0.019615000000000004 0.005580000000000001 0.418242 0.0046195 0.10611975 0.050638499999999996 0.44259849999999995 0.022818750000000006 0.05845675000000001 0.02120075 0.4369807500000001 0.019975500000000004
15.0 0.0009092500000000001 2.45e-05 0.41434474999999993 0.00013775 0.006092500000000001 0.00267825 0.41540475 0.002916 0.0648385 0.019654500000000005 0.43966274999999994 0.011500250000000002 0.019549000000000004 0.0028865 0.4353555 0.010807500000000001
18.0 0.000147 0.0 0.41284299999999996 2.8750000000000004e-05 0.0033675 0.0025235 0.41271075 0.0026085 0.037413 0.00540225 0.43923 0.006197750000000001 0.0047545 0.00013525 0.43411825 0.00774825
21.0 4.65e-05 0.0 0.41178050000000005 1.075e-05 0.0027909999999999996 0.0024920000000000003 0.41227825 0.00256725 0.021717 0.00084475 0.438116 0.00383875 0.001136 1e-06 0.43315600000000004 0.006435000000000001
24.0 4.5e-06 0.0 0.41069325 4.25e-06 0.00268 0.002479 0.41150975 0.0024840000000000005 0.01475025 7.45e-05 0.4368174999999999 0.00271725 0.00040875000000000004 0.0 0.43302675 0.0056524999999999995
27.0 0.0 0.0 0.41088975 2.25e-06 0.0026800000000000005 0.002519 0.41176875 0.0025259999999999996 0.011610250000000003 2e-06 0.436542 0.00214275 0.00020724999999999997 0.0 0.43376725 0.005105
30.0 1.575e-05 0.0 0.4103299999999999 2.5e-06 0.0026975000000000002 0.0025105 0.4123205 0.0025204999999999997 0.009982750000000002 0.0 0.4381255 0.001877 0.00013350000000000002 0.0 0.43377024999999997 0.0047765
